iter	Passed	Remaining
581	1867	590
582	1870	587
583	1873	583
584	1876	580
585	1878	577
586	1881	573
587	1884	570
588	1886	566
589	1889	563
590	1892	560
591	1894	556
592	1897	553
593	1900	550
594	1902	546
595	1906	543
596	1908	540
597	1911	537
598	1914	533
599	1917	530
600	1919	527
601	1922	523
602	1925	520
603	1927	517
604	1930	513
605	1933	510
606	1935	507
607	1938	503
608	1940	500
609	1943	496
610	1946	493
611	1948	490
612	1951	487
613	1954	483
614	1956	480
615	1959	477
616	1962	473
617	1964	470
618	1967	467
619	1970	463
620	1972	460
621	1975	457
622	1978	454
623	1980	450
624	1983	447
625	1986	444
626	1988	440
627	1991	437
628	1994	434
629	1997	431
630	2000	428
631	2003	424
632	2006	421
633	2008	418
634	2011	415
635	2014	411
636	2017	408
637	2019	405
638	2022	401
639	2025	398
640	2027	395
641	2030	392
642	2033	388
643	2036	385
644	2039	382
645	2043	379
646	2046	376
647	2058	374
648	2061	371
649	2065	368
650	2068	365
651	2071	362
652	2074	359
653	2078	355
654	2081	352
655	2084	349
656	2088	346
657	2092	343
658	2096	340
659	2099	337
660	2103	334
661	2107	331
662	2111	328
663	2114	324
664	2117	321
665	2121	318
666	2127	315
667	2131	312
668	2134	309
669	2138	306
670	2142	303
671	2145	300
672	2149	297
673	2153	293
674	2157	290
675	2161	287
676	2164	284
677	2170	281
678	2176	278
679	2179	275
680	2182	272
681	2186	269
682	2189	266
683	2192	262
684	2194	259
685	2197	256
686	2201	253
687	2203	249
688	2207	246
689	2210	243
690	2212	240
691	2216	236
692	2218	233
693	2222	230
694	2224	227
695	2227	224
696	2230	220
697	2234	217
698	2237	214
699	2241	211
700	2243	208
701	2247	204
702	2250	201
703	2252	198
704	2255	195
705	2258	191
706	2260	188
707	2263	185
708	2266	182
709	2269	178
710	2271	175
711	2274	172
712	2276	169
713	2279	166
714	2282	162
715	2285	159
716	2287	156
717	2290	153
718	2292	149
719	2295	146
720	2298	143
721	2301	140
722	2303	137
723	2306	133
724	2309	130
725	2312	127
726	2314	124
727	2317	120
728	2320	117
729	2322	114
730	2325	111
731	2328	108
732	2331	104
733	2334	101
734	2336	98
735	2339	95
736	2342	92
737	2344	88
738	2347	85
739	2349	82
740	2351	79
741	2353	76
742	2356	72
743	2359	69
744	2361	66
745	2363	63
746	2365	60
747	2368	56
748	2371	53
749	2374	50
750	2376	47
751	2378	44
752	2381	41
753	2383	37
754	2386	34
755	2388	31
756	2391	28
757	2393	25
758	2396	22
759	2398	18
760	2401	15
761	2403	12
762	2406	9
763	2408	6
764	2411	3
765	2414	0
